[ 2025-11-15 04:44:05,299 ] 18 root - INFO - Initiate the data ingestion
[ 2025-11-15 04:44:14,908 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-15 04:44:14,908 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-15 04:44:14,909 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-15 04:44:15,017 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-15 04:44:15,018 ] 20 root - INFO - Data Initiation Completed
[ 2025-11-15 04:44:15,043 ] 24 root - INFO - Initiate the data Validation
[ 2025-11-15 04:44:15,128 ] 32 root - INFO - Required number of columns:2
[ 2025-11-15 04:44:15,129 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-15 04:44:15,129 ] 32 root - INFO - Required number of columns:2
[ 2025-11-15 04:44:15,129 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-15 04:44:15,375 ] 26 root - INFO - data Validation Completed
